Cr1             0.00000000   -0.14258222   -0.07483789    4.9247    3.7821
Cr2            -0.00000000    0.14258222    6.24483789    4.9251    3.7814
Cr3             1.96699985    3.54952624    0.07483789    4.9255    3.7821
Cr4             1.96699985    3.26436181    6.09516211    4.9250    3.7823
Cr5             1.96699985   -3.26436181    0.07483789    4.9258    3.7819
Cr6             1.96699985   -3.54952624    6.09516211    4.9252    3.7821
Cr7             3.93399970   -0.14258222   -0.07483789    4.9252    3.7820
Cr8             3.93399970    0.14258222    6.24483789    4.9250    3.7820
Cr9             0.00000000    0.00000000    3.08500000    5.0369    3.9429
Cr10            1.96699985    3.40694402    9.25500000    5.0362    3.9429
Cr11            1.96699985   -3.40694402    9.25500000    5.0371    3.9421
Cr12            3.93399970    0.00000000    3.08500000    5.0360    3.9426
Cr1 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr2 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr3 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr4 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr5 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr6 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr7 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr8 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr9 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr10 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr11 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr12 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
   Cr2   Cr1   (  0,   0,   1) -0.2132   ( 0.000, -0.285,  6.020)  6.027 
   Cr8   Cr7   (  0,   0,   1) -0.1981   ( 0.000, -0.285,  6.020)  6.027 
   Cr3   Cr4   (  0,   0,   0) -0.2117   (-0.000, -0.285,  6.020)  6.027 
   Cr4   Cr3   (  0,   0,   0) -0.2117   ( 0.000,  0.285, -6.020)  6.027 
   Cr5   Cr6   (  0,   0,   0) -0.2036   ( 0.000, -0.285,  6.020)  6.027 
   Cr6   Cr5   (  0,   0,   0) -0.2036   (-0.000,  0.285, -6.020)  6.027 
   Cr3   Cr4   (  0,   0,  -1)  0.7179   (-0.000, -0.285, -6.320)  6.326 
   Cr5   Cr6   (  0,   0,  -1)  0.7112   ( 0.000, -0.285, -6.320)  6.326 
   Cr4   Cr3   (  0,   0,   1)  0.7179   ( 0.000,  0.285,  6.320)  6.326 
   Cr6   Cr5   (  0,   0,   1)  0.7112   (-0.000,  0.285,  6.320)  6.326 
   Cr1   Cr2   (  0,   0,   0)  0.7066   (-0.000,  0.285,  6.320)  6.326 
   Cr2   Cr1   (  0,   0,   0)  0.7066   ( 0.000, -0.285, -6.320)  6.326 
   Cr7   Cr8   (  0,   0,   0)  0.7148   ( 0.000,  0.285,  6.320)  6.326 
   Cr8   Cr7   (  0,   0,   0)  0.7148   ( 0.000, -0.285, -6.320)  6.326 
   Cr1   Cr5   ( -1,  -1,   0)  0.6782   (-5.901, -3.122,  0.150)  6.678 
   Cr2   Cr4   ( -1,  -1,   0)  0.6734   (-5.901,  3.122, -0.150)  6.678 
   Cr4   Cr8   ( -1,  -1,   0)  0.6691   (-5.901, -3.122,  0.150)  6.678 
   Cr5   Cr7   ( -1,  -1,   0)  0.6657   (-5.901,  3.122, -0.150)  6.678 
   Cr3   Cr1   ( -1,   0,   0)  0.6814   (-5.901,  3.122, -0.150)  6.678 
   Cr8   Cr6   ( -1,   0,   0)  0.6675   (-5.901,  3.122, -0.150)  6.678 
   Cr6   Cr2   (  0,  -1,   0)  0.6729   (-5.901, -3.122,  0.150)  6.678 
   Cr7   Cr3   (  0,  -1,   0)  0.6673   (-5.901, -3.122,  0.150)  6.678 
   Cr2   Cr6   (  0,   1,   0)  0.6729   ( 5.901,  3.122, -0.150)  6.678 
   Cr3   Cr7   (  0,   1,   0)  0.6673   ( 5.901,  3.122, -0.150)  6.678 
   Cr1   Cr3   (  1,   0,   0)  0.6814   ( 5.901, -3.122,  0.150)  6.678 
   Cr6   Cr8   (  1,   0,   0)  0.6675   ( 5.901, -3.122,  0.150)  6.678 
   Cr4   Cr2   (  1,   1,   0)  0.6734   ( 5.901, -3.122,  0.150)  6.678 
   Cr5   Cr1   (  1,   1,   0)  0.6782   ( 5.901,  3.122, -0.150)  6.678 
   Cr7   Cr5   (  1,   1,   0)  0.6657   ( 5.901, -3.122,  0.150)  6.678 
   Cr8   Cr4   (  1,   1,   0)  0.6691   ( 5.901,  3.122, -0.150)  6.678 
   Cr4   Cr6   ( -1,   1,   0) -0.0664   ( 0.000,  6.814,  0.000)  6.814 
   Cr5   Cr3   (  1,  -1,   0) -0.0766   ( 0.000, -6.814,  0.000)  6.814 
   Cr3   Cr5   ( -1,   1,   0) -0.0766   (-0.000,  6.814,  0.000)  6.814 
   Cr6   Cr4   (  1,  -1,   0) -0.0664   (-0.000, -6.814,  0.000)  6.814 
   Cr1   Cr7   ( -1,   0,   0) -0.0626   ( 0.000,  6.814,  0.000)  6.814 
   Cr7   Cr1   (  1,   0,   0) -0.0626   (-0.000, -6.814,  0.000)  6.814 
   Cr2   Cr8   ( -1,   0,   0) -0.0641   ( 0.000,  6.814,  0.000)  6.814 
   Cr9   Cr12  ( -1,   0,   0)  0.1099   ( 0.000,  6.814,  0.000)  6.814 
   Cr2   Cr8   (  0,  -1,   0) -0.0738   ( 0.000, -6.814,  0.000)  6.814 
   Cr9   Cr12  (  0,  -1,   0)  0.1012   ( 0.000, -6.814,  0.000)  6.814 
   Cr10  Cr11  (  0,   0,   0)  0.1174   ( 0.000, -6.814,  0.000)  6.814 
   Cr11  Cr10  (  0,   0,   0)  0.1174   ( 0.000,  6.814,  0.000)  6.814 
   Cr8   Cr2   (  0,   1,   0) -0.0738   (-0.000,  6.814,  0.000)  6.814 
   Cr12  Cr9   (  0,   1,   0)  0.1012   ( 0.000,  6.814,  0.000)  6.814 
   Cr8   Cr2   (  1,   0,   0) -0.0641   (-0.000, -6.814,  0.000)  6.814 
   Cr12  Cr9   (  1,   0,   0)  0.1099   ( 0.000, -6.814,  0.000)  6.814 
   Cr1   Cr7   (  0,  -1,   0) -0.0607   ( 0.000, -6.814,  0.000)  6.814 
   Cr7   Cr1   (  0,   1,   0) -0.0607   (-0.000,  6.814,  0.000)  6.814 
   Cr10  Cr11  ( -1,   1,   0)  0.1101   ( 0.000,  6.814,  0.000)  6.814 
   Cr11  Cr10  (  1,  -1,   0)  0.1101   ( 0.000, -6.814,  0.000)  6.814 
   Cr3   Cr5   (  0,   0,   0) -0.0618   (-0.000, -6.814,  0.000)  6.814 
   Cr4   Cr6   (  0,   0,   0) -0.0554   ( 0.000, -6.814,  0.000)  6.814 
   Cr5   Cr3   (  0,   0,   0) -0.0618   ( 0.000,  6.814,  0.000)  6.814 
   Cr6   Cr4   (  0,   0,   0) -0.0554   (-0.000,  6.814,  0.000)  6.814 
   Cr1   Cr3   ( -1,  -1,   0)  0.1839   (-5.901,  3.692,  0.150)  6.962 
   Cr2   Cr6   ( -1,  -1,   0)  0.1651   (-5.901, -3.692, -0.150)  6.962 
   Cr3   Cr7   ( -1,  -1,   0)  0.1589   (-5.901, -3.692, -0.150)  6.962 
   Cr6   Cr8   ( -1,  -1,   0)  0.1620   (-5.901,  3.692,  0.150)  6.962 
   Cr4   Cr2   ( -1,   0,   0)  0.1683   (-5.901,  3.692,  0.150)  6.962 
   Cr5   Cr1   (  0,  -1,   0)  0.1718   (-5.901, -3.692, -0.150)  6.962 
   Cr1   Cr5   (  0,   1,   0)  0.1718   ( 5.901,  3.692,  0.150)  6.962 
   Cr2   Cr4   (  1,   0,   0)  0.1683   ( 5.901, -3.692, -0.150)  6.962 
   Cr3   Cr1   (  1,   1,   0)  0.1839   ( 5.901, -3.692, -0.150)  6.962 
   Cr6   Cr2   (  1,   1,   0)  0.1651   ( 5.901,  3.692,  0.150)  6.962 
   Cr7   Cr3   (  1,   1,   0)  0.1589   ( 5.901,  3.692,  0.150)  6.962 
   Cr8   Cr6   (  1,   1,   0)  0.1620   ( 5.901, -3.692, -0.150)  6.962 
   Cr7   Cr5   ( -1,   0,   0)  0.1599   (-5.901,  3.692,  0.150)  6.962 
   Cr8   Cr4   (  0,  -1,   0)  0.1689   (-5.901, -3.692, -0.150)  6.962 
   Cr4   Cr8   (  0,   1,   0)  0.1689   ( 5.901,  3.692,  0.150)  6.962 
   Cr5   Cr7   (  1,   0,   0)  0.1599   ( 5.901, -3.692, -0.150)  6.962 
   Cr1   Cr8   ( -1,  -1,  -1)  0.6070   (-3.934,  0.285, -6.020)  7.197 
   Cr7   Cr2   (  1,   1,  -1)  0.6218   ( 3.934,  0.285, -6.020)  7.197 
   Cr2   Cr7   ( -1,  -1,   1)  0.6218   (-3.934, -0.285,  6.020)  7.197 
   Cr8   Cr1   (  1,   1,   1)  0.6070   ( 3.934, -0.285,  6.020)  7.197 
   Cr1   Cr8   (  0,   0,  -1)  0.6160   ( 3.934,  0.285, -6.020)  7.197 
   Cr7   Cr2   (  0,   0,  -1)  0.6167   (-3.934,  0.285, -6.020)  7.197 
   Cr2   Cr7   (  0,   0,   1)  0.6167   ( 3.934, -0.285,  6.020)  7.197 
   Cr8   Cr1   (  0,   0,   1)  0.6160   (-3.934, -0.285,  6.020)  7.197 
   Cr3   Cr6   ( -1,   0,   0)  0.6076   (-3.934, -0.285,  6.020)  7.197 
   Cr4   Cr5   ( -1,   0,   0)  0.6193   (-3.934,  0.285, -6.020)  7.197 
   Cr5   Cr4   (  0,  -1,   0)  0.6334   (-3.934, -0.285,  6.020)  7.197 
   Cr6   Cr3   (  0,  -1,   0)  0.6249   (-3.934,  0.285, -6.020)  7.197 
   Cr4   Cr5   (  0,   1,   0)  0.6334   ( 3.934,  0.285, -6.020)  7.197 
   Cr5   Cr4   (  1,   0,   0)  0.6193   ( 3.934, -0.285,  6.020)  7.197 
   Cr6   Cr3   (  1,   0,   0)  0.6076   ( 3.934,  0.285, -6.020)  7.197 
   Cr3   Cr6   (  0,   1,   0)  0.6249   ( 3.934, -0.285,  6.020)  7.197 
   Cr7   Cr4   (  1,   0,  -1)  0.0903   ( 1.967, -3.407, -6.170)  7.317 
   Cr1   Cr6   ( -1,   0,  -1)  0.1237   (-1.967,  3.407, -6.170)  7.317 
   Cr4   Cr7   ( -1,   0,   1)  0.0903   (-1.967,  3.407,  6.170)  7.317 
   Cr6   Cr1   (  1,   0,   1)  0.1237   ( 1.967, -3.407,  6.170)  7.317 
   Cr1   Cr4   (  0,  -1,  -1)  0.0969   (-1.967, -3.407, -6.170)  7.317 
   Cr5   Cr8   (  0,  -1,  -1)  0.1005   (-1.967, -3.407, -6.170)  7.317 
   Cr5   Cr2   (  1,   0,  -1)  0.0892   ( 1.967, -3.407, -6.170)  7.317 
   Cr3   Cr8   ( -1,   0,  -1)  0.1263   (-1.967,  3.407, -6.170)  7.317 
   Cr3   Cr2   (  0,   1,  -1)  0.1320   ( 1.967,  3.407, -6.170)  7.317 
   Cr7   Cr6   (  0,   1,  -1)  0.1154   ( 1.967,  3.407, -6.170)  7.317 
   Cr2   Cr5   ( -1,   0,   1)  0.0892   (-1.967,  3.407,  6.170)  7.317 
   Cr4   Cr1   (  0,   1,   1)  0.0969   ( 1.967,  3.407,  6.170)  7.317 
   Cr8   Cr5   (  0,   1,   1)  0.1005   ( 1.967,  3.407,  6.170)  7.317 
   Cr2   Cr3   (  0,  -1,   1)  0.1320   (-1.967, -3.407,  6.170)  7.317 
   Cr6   Cr7   (  0,  -1,   1)  0.1154   (-1.967, -3.407,  6.170)  7.317 
   Cr8   Cr3   (  1,   0,   1)  0.1263   ( 1.967, -3.407,  6.170)  7.317 
   Cr9   Cr11  ( -1,   0,   0)  0.9031   (-1.967,  3.407,  6.170)  7.317 
   Cr10  Cr12  ( -1,   0,   0)  0.7402   (-1.967,  3.407, -6.170)  7.317 
   Cr9   Cr10  (  0,  -1,   0)  0.7622   (-1.967, -3.407,  6.170)  7.317 
   Cr11  Cr12  (  0,  -1,   0)  0.9198   (-1.967, -3.407, -6.170)  7.317 
   Cr9   Cr10  (  0,   0,   0)  0.8728   ( 1.967,  3.407,  6.170)  7.317 
   Cr9   Cr11  (  0,   0,   0)  0.6542   ( 1.967, -3.407,  6.170)  7.317 
   Cr10  Cr9   (  0,   0,   0)  0.8728   (-1.967, -3.407, -6.170)  7.317 
   Cr10  Cr12  (  0,   0,   0)  0.9091   ( 1.967, -3.407, -6.170)  7.317 
   Cr11  Cr9   (  0,   0,   0)  0.6542   (-1.967,  3.407, -6.170)  7.317 
   Cr11  Cr12  (  0,   0,   0)  0.6868   ( 1.967,  3.407, -6.170)  7.317 
   Cr12  Cr10  (  0,   0,   0)  0.9091   (-1.967,  3.407,  6.170)  7.317 
   Cr12  Cr11  (  0,   0,   0)  0.6868   (-1.967, -3.407,  6.170)  7.317 
   Cr10  Cr9   (  0,   1,   0)  0.7622   ( 1.967,  3.407, -6.170)  7.317 
   Cr12  Cr11  (  0,   1,   0)  0.9198   ( 1.967,  3.407,  6.170)  7.317 
   Cr11  Cr9   (  1,   0,   0)  0.9031   ( 1.967, -3.407, -6.170)  7.317 
   Cr12  Cr10  (  1,   0,   0)  0.7402   ( 1.967, -3.407,  6.170)  7.317 
   Cr1   Cr4   (  0,   0,  -1)  0.1036   ( 1.967,  3.407, -6.170)  7.317 
   Cr1   Cr6   (  0,   0,  -1)  0.1103   ( 1.967, -3.407, -6.170)  7.317 
   Cr3   Cr8   (  0,   0,  -1)  0.1095   ( 1.967, -3.407, -6.170)  7.317 
   Cr5   Cr2   (  0,   0,  -1)  0.1060   (-1.967,  3.407, -6.170)  7.317 
   Cr7   Cr4   (  0,   0,  -1)  0.1304   (-1.967,  3.407, -6.170)  7.317 
   Cr7   Cr6   (  0,   0,  -1)  0.1102   (-1.967, -3.407, -6.170)  7.317 
   Cr2   Cr5   (  0,   0,   1)  0.1060   ( 1.967, -3.407,  6.170)  7.317 
   Cr4   Cr1   (  0,   0,   1)  0.1036   (-1.967, -3.407,  6.170)  7.317 
   Cr4   Cr7   (  0,   0,   1)  0.1304   ( 1.967, -3.407,  6.170)  7.317 
   Cr6   Cr1   (  0,   0,   1)  0.1103   (-1.967,  3.407,  6.170)  7.317 
   Cr6   Cr7   (  0,   0,   1)  0.1102   ( 1.967,  3.407,  6.170)  7.317 
   Cr8   Cr3   (  0,   0,   1)  0.1095   (-1.967,  3.407,  6.170)  7.317 
   Cr1   Cr6   ( -1,   0,   0)  0.1029   (-1.967,  3.407,  6.170)  7.317 
   Cr2   Cr5   ( -1,   0,   0)  0.1194   (-1.967,  3.407, -6.170)  7.317 
   Cr3   Cr8   ( -1,   0,   0)  0.0888   (-1.967,  3.407,  6.170)  7.317 
   Cr4   Cr7   ( -1,   0,   0)  0.1076   (-1.967,  3.407, -6.170)  7.317 
   Cr2   Cr3   (  0,  -1,   0)  0.0912   (-1.967, -3.407, -6.170)  7.317 
   Cr5   Cr8   (  0,  -1,   0)  0.1297   (-1.967, -3.407,  6.170)  7.317 
   Cr3   Cr2   (  0,   1,   0)  0.0912   ( 1.967,  3.407,  6.170)  7.317 
   Cr8   Cr5   (  0,   1,   0)  0.1297   ( 1.967,  3.407, -6.170)  7.317 
   Cr5   Cr2   (  1,   0,   0)  0.1194   ( 1.967, -3.407,  6.170)  7.317 
   Cr6   Cr1   (  1,   0,   0)  0.1029   ( 1.967, -3.407, -6.170)  7.317 
   Cr7   Cr4   (  1,   0,   0)  0.1076   ( 1.967, -3.407,  6.170)  7.317 
   Cr8   Cr3   (  1,   0,   0)  0.0888   ( 1.967, -3.407, -6.170)  7.317 
   Cr3   Cr2   (  0,   0,  -1)  0.0986   (-1.967, -3.407, -6.170)  7.317 
   Cr5   Cr8   (  0,   0,  -1)  0.1073   ( 1.967,  3.407, -6.170)  7.317 
   Cr2   Cr3   (  0,   0,   1)  0.0986   ( 1.967,  3.407,  6.170)  7.317 
   Cr8   Cr5   (  0,   0,   1)  0.1073   (-1.967, -3.407,  6.170)  7.317 
   Cr1   Cr4   (  0,  -1,   0)  0.0996   (-1.967, -3.407,  6.170)  7.317 
   Cr6   Cr7   (  0,  -1,   0)  0.1016   (-1.967, -3.407, -6.170)  7.317 
   Cr4   Cr1   (  0,   1,   0)  0.0996   ( 1.967,  3.407, -6.170)  7.317 
   Cr7   Cr6   (  0,   1,   0)  0.1016   ( 1.967,  3.407,  6.170)  7.317 
   Cr9   Cr10  (  0,  -1,  -1)  0.9324   (-1.967, -3.407, -6.170)  7.317 
   Cr9   Cr10  (  0,   0,  -1)  0.7105   ( 1.967,  3.407, -6.170)  7.317 
   Cr9   Cr11  (  0,   0,  -1)  0.9113   ( 1.967, -3.407, -6.170)  7.317 
   Cr12  Cr10  (  0,   0,  -1)  0.6548   (-1.967,  3.407, -6.170)  7.317 
   Cr12  Cr11  (  0,   0,  -1)  0.8960   (-1.967, -3.407, -6.170)  7.317 
   Cr12  Cr10  (  1,   0,  -1)  0.9231   ( 1.967, -3.407, -6.170)  7.317 
   Cr9   Cr11  ( -1,   0,  -1)  0.6641   (-1.967,  3.407, -6.170)  7.317 
   Cr12  Cr11  (  0,   1,  -1)  0.7398   ( 1.967,  3.407, -6.170)  7.317 
   Cr1   Cr4   (  0,   0,   0)  0.1126   ( 1.967,  3.407,  6.170)  7.317 
   Cr1   Cr6   (  0,   0,   0)  0.1163   ( 1.967, -3.407,  6.170)  7.317 
   Cr2   Cr3   (  0,   0,   0)  0.1133   ( 1.967,  3.407, -6.170)  7.317 
   Cr2   Cr5   (  0,   0,   0)  0.0830   ( 1.967, -3.407, -6.170)  7.317 
   Cr3   Cr2   (  0,   0,   0)  0.1133   (-1.967, -3.407,  6.170)  7.317 
   Cr3   Cr8   (  0,   0,   0)  0.1205   ( 1.967, -3.407,  6.170)  7.317 
   Cr4   Cr1   (  0,   0,   0)  0.1126   (-1.967, -3.407, -6.170)  7.317 
   Cr4   Cr7   (  0,   0,   0)  0.0967   ( 1.967, -3.407, -6.170)  7.317 
   Cr5   Cr2   (  0,   0,   0)  0.0830   (-1.967,  3.407,  6.170)  7.317 
   Cr5   Cr8   (  0,   0,   0)  0.0855   ( 1.967,  3.407,  6.170)  7.317 
   Cr6   Cr1   (  0,   0,   0)  0.1163   (-1.967,  3.407, -6.170)  7.317 
   Cr6   Cr7   (  0,   0,   0)  0.1242   ( 1.967,  3.407, -6.170)  7.317 
   Cr7   Cr4   (  0,   0,   0)  0.0967   (-1.967,  3.407,  6.170)  7.317 
   Cr7   Cr6   (  0,   0,   0)  0.1242   (-1.967, -3.407,  6.170)  7.317 
   Cr8   Cr3   (  0,   0,   0)  0.1205   (-1.967,  3.407, -6.170)  7.317 
   Cr8   Cr5   (  0,   0,   0)  0.0855   (-1.967, -3.407, -6.170)  7.317 
   Cr10  Cr12  ( -1,   0,   1)  0.9231   (-1.967,  3.407,  6.170)  7.317 
   Cr10  Cr9   (  0,   0,   1)  0.7105   (-1.967, -3.407,  6.170)  7.317 
   Cr10  Cr12  (  0,   0,   1)  0.6548   ( 1.967, -3.407,  6.170)  7.317 
   Cr11  Cr9   (  0,   0,   1)  0.9113   (-1.967,  3.407,  6.170)  7.317 
   Cr11  Cr12  (  0,   0,   1)  0.8960   ( 1.967,  3.407,  6.170)  7.317 
   Cr10  Cr9   (  0,   1,   1)  0.9324   ( 1.967,  3.407,  6.170)  7.317 
   Cr11  Cr12  (  0,  -1,   1)  0.7398   (-1.967, -3.407,  6.170)  7.317 
   Cr11  Cr9   (  1,   0,   1)  0.6641   ( 1.967, -3.407,  6.170)  7.317 
   Cr10  Cr6   ( -1,   1,   0)  0.9738   ( 0.000,  6.671, -3.160)  7.382 
   Cr6   Cr10  (  1,  -1,   0)  0.9738   (-0.000, -6.671,  3.160)  7.382 
   Cr9   Cr7   ( -1,   0,   0)  0.9976   ( 0.000,  6.671, -3.160)  7.382 
   Cr7   Cr9   (  1,   0,   0)  0.9976   (-0.000, -6.671,  3.160)  7.382 
   Cr11  Cr3   (  1,  -1,   1)  0.9731   ( 0.000, -6.671,  3.160)  7.382 
   Cr2   Cr12  ( -1,   0,   0)  0.9952   ( 0.000,  6.671, -3.160)  7.382 
   Cr1   Cr12  (  0,  -1,   0)  0.9921   (-0.000, -6.671,  3.160)  7.382 
   Cr9   Cr8   (  0,  -1,   0)  0.9810   ( 0.000, -6.671,  3.160)  7.382 
   Cr4   Cr11  (  0,   0,   0)  0.9923   (-0.000, -6.671,  3.160)  7.382 
   Cr11  Cr4   (  0,   0,   0)  0.9923   ( 0.000,  6.671, -3.160)  7.382 
   Cr8   Cr9   (  0,   1,   0)  0.9810   (-0.000,  6.671, -3.160)  7.382 
   Cr12  Cr1   (  0,   1,   0)  0.9921   ( 0.000,  6.671, -3.160)  7.382 
   Cr12  Cr2   (  1,   0,   0)  0.9952   ( 0.000, -6.671,  3.160)  7.382 
   Cr3   Cr11  ( -1,   1,  -1)  0.9731   (-0.000,  6.671, -3.160)  7.382 
   Cr5   Cr10  (  0,   0,  -1)  0.9942   (-0.000,  6.671, -3.160)  7.382 
   Cr10  Cr5   (  0,   0,   1)  0.9942   ( 0.000, -6.671,  3.160)  7.382 
   Cr2   Cr10  ( -1,  -1,   0)  0.5385   (-5.901,  3.264,  3.010)  7.385 
   Cr10  Cr8   ( -1,  -1,   0)  0.5644   (-5.901, -3.264, -3.010)  7.385 
   Cr11  Cr2   (  0,  -1,   0)  0.5391   (-5.901, -3.264, -3.010)  7.385 
   Cr2   Cr11  (  0,   1,   0)  0.5391   ( 5.901,  3.264,  3.010)  7.385 
   Cr8   Cr10  (  1,   1,   0)  0.5644   ( 5.901,  3.264,  3.010)  7.385 
   Cr10  Cr2   (  1,   1,   0)  0.5385   ( 5.901, -3.264, -3.010)  7.385 
   Cr12  Cr3   (  0,  -1,   0)  0.5676   (-5.901, -3.264, -3.010)  7.385 
   Cr3   Cr12  (  0,   1,   0)  0.5676   ( 5.901,  3.264,  3.010)  7.385 
   Cr9   Cr5   ( -1,  -1,   0)  0.5538   (-5.901, -3.264, -3.010)  7.385 
   Cr3   Cr9   ( -1,   0,   0)  0.5461   (-5.901,  3.264,  3.010)  7.385 
   Cr12  Cr6   ( -1,   0,   0)  0.5793   (-5.901,  3.264,  3.010)  7.385 
   Cr6   Cr12  (  1,   0,   0)  0.5793   ( 5.901, -3.264, -3.010)  7.385 
   Cr9   Cr3   (  1,   0,   0)  0.5461   ( 5.901, -3.264, -3.010)  7.385 
   Cr5   Cr9   (  1,   1,   0)  0.5538   ( 5.901,  3.264,  3.010)  7.385 
   Cr1   Cr11  ( -1,  -1,  -1)  0.5538   (-5.901, -3.264, -3.010)  7.385 
   Cr1   Cr10  (  1,   0,  -1)  0.5638   ( 5.901, -3.264, -3.010)  7.385 
   Cr7   Cr11  (  1,   1,  -1)  0.5520   ( 5.901, -3.264, -3.010)  7.385 
   Cr11  Cr7   ( -1,  -1,   1)  0.5520   (-5.901,  3.264,  3.010)  7.385 
   Cr10  Cr1   ( -1,   0,   1)  0.5638   (-5.901,  3.264,  3.010)  7.385 
   Cr11  Cr1   (  1,   1,   1)  0.5538   ( 5.901,  3.264,  3.010)  7.385 
   Cr5   Cr12  ( -1,  -1,   0)  0.5674   (-5.901,  3.264,  3.010)  7.385 
   Cr9   Cr4   ( -1,  -1,   0)  0.5479   (-5.901,  3.264,  3.010)  7.385 
   Cr8   Cr11  ( -1,   0,   0)  0.5596   (-5.901,  3.264,  3.010)  7.385 
   Cr11  Cr8   (  1,   0,   0)  0.5596   ( 5.901, -3.264, -3.010)  7.385 
   Cr4   Cr9   (  1,   1,   0)  0.5479   ( 5.901, -3.264, -3.010)  7.385 
   Cr12  Cr5   (  1,   1,   0)  0.5674   ( 5.901, -3.264, -3.010)  7.385 
   Cr4   Cr12  ( -1,  -1,   0)  0.5551   (-5.901, -3.264, -3.010)  7.385 
   Cr6   Cr9   (  0,  -1,   0)  0.5718   (-5.901, -3.264, -3.010)  7.385 
   Cr9   Cr6   (  0,   1,   0)  0.5718   ( 5.901,  3.264,  3.010)  7.385 
   Cr12  Cr4   (  1,   1,   0)  0.5551   ( 5.901,  3.264,  3.010)  7.385 
   Cr7   Cr10  (  0,  -1,  -1)  0.5633   (-5.901, -3.264, -3.010)  7.385 
   Cr10  Cr7   (  0,   1,   1)  0.5633   ( 5.901,  3.264,  3.010)  7.385 
   Cr5   Cr4   (  0,  -1,  -1)  0.1746   (-3.934, -0.285, -6.320)  7.450 
   Cr5   Cr4   (  1,   0,  -1)  0.1791   ( 3.934, -0.285, -6.320)  7.450 
   Cr4   Cr5   ( -1,   0,   1)  0.1791   (-3.934,  0.285,  6.320)  7.450 
   Cr4   Cr5   (  0,   1,   1)  0.1746   ( 3.934,  0.285,  6.320)  7.450 
   Cr6   Cr3   (  1,   0,   1)  0.1893   ( 3.934,  0.285,  6.320)  7.450 
   Cr3   Cr6   ( -1,   0,  -1)  0.1893   (-3.934, -0.285, -6.320)  7.450 
   Cr3   Cr6   (  0,   1,  -1)  0.1755   ( 3.934, -0.285, -6.320)  7.450 
   Cr6   Cr3   (  0,  -1,   1)  0.1755   (-3.934,  0.285,  6.320)  7.450 
   Cr1   Cr8   ( -1,  -1,   0)  0.1776   (-3.934,  0.285,  6.320)  7.450 
   Cr2   Cr7   ( -1,  -1,   0)  0.1773   (-3.934, -0.285, -6.320)  7.450 
   Cr7   Cr2   (  1,   1,   0)  0.1773   ( 3.934,  0.285,  6.320)  7.450 
   Cr8   Cr1   (  1,   1,   0)  0.1776   ( 3.934, -0.285, -6.320)  7.450 
   Cr1   Cr8   (  0,   0,   0)  0.1856   ( 3.934,  0.285,  6.320)  7.450 
   Cr2   Cr7   (  0,   0,   0)  0.1838   ( 3.934, -0.285, -6.320)  7.450 
   Cr7   Cr2   (  0,   0,   0)  0.1838   (-3.934,  0.285,  6.320)  7.450 
   Cr8   Cr1   (  0,   0,   0)  0.1856   (-3.934, -0.285, -6.320)  7.450 
   Cr2   Cr11  ( -1,  -1,   0)  0.7908   (-5.901, -3.550,  3.010)  7.515 
   Cr11  Cr8   ( -1,  -1,   0)  0.7926   (-5.901,  3.550, -3.010)  7.515 
   Cr10  Cr2   ( -1,   0,   0)  0.7725   (-5.901,  3.550, -3.010)  7.515 
   Cr12  Cr5   ( -1,   0,   0)  0.7597   (-5.901,  3.550, -3.010)  7.515 
   Cr2   Cr10  (  1,   0,   0)  0.7725   ( 5.901, -3.550,  3.010)  7.515 
   Cr5   Cr12  (  1,   0,   0)  0.7597   ( 5.901, -3.550,  3.010)  7.515 
   Cr8   Cr11  (  1,   1,   0)  0.7926   ( 5.901, -3.550,  3.010)  7.515 
   Cr11  Cr2   (  1,   1,   0)  0.7908   ( 5.901,  3.550, -3.010)  7.515 
   Cr9   Cr3   ( -1,  -1,   0)  0.7795   (-5.901,  3.550, -3.010)  7.515 
   Cr5   Cr9   (  0,  -1,   0)  0.7707   (-5.901, -3.550,  3.010)  7.515 
   Cr12  Cr4   (  0,  -1,   0)  0.7903   (-5.901, -3.550,  3.010)  7.515 
   Cr4   Cr12  (  0,   1,   0)  0.7903   ( 5.901,  3.550, -3.010)  7.515 
   Cr9   Cr5   (  0,   1,   0)  0.7707   ( 5.901,  3.550, -3.010)  7.515 
   Cr10  Cr8   (  0,   1,   0)  0.7871   ( 5.901,  3.550, -3.010)  7.515 
   Cr3   Cr9   (  1,   1,   0)  0.7795   ( 5.901, -3.550,  3.010)  7.515 
