136,1,10,0,0,0,7.80911E-22
137,10,1,0,0,0,7.80911E-22
138,1,9,0,-1,0,7.81552E-22
139,9,1,0,1,0,7.81552E-22
140,7,10,0,0,0,7.79774E-22
141,10,7,0,0,0,7.79774E-22
142,4,8,1,0,0,7.82048E-22
143,7,9,1,0,0,7.79886E-22
144,8,4,-1,0,0,7.82048E-22
145,9,7,-1,0,0,7.79886E-22
146,11,4,0,1,0,7.83522E-22
147,2,11,0,0,0,7.8317E-22
148,11,2,0,0,0,7.8317E-22
149,0,9,0,0,-1,7.81023E-22
150,4,11,0,-1,0,7.83522E-22
151,8,3,0,-1,0,7.82849E-22
152,11,3,1,0,0,7.82112E-22
153,3,11,-1,0,0,7.82112E-22
154,3,8,0,1,0,7.82849E-22
155,0,10,-1,0,-1,7.8168E-22
156,9,0,0,0,1,7.81023E-22
157,6,10,0,1,-1,7.81456E-22
158,10,0,1,0,1,7.8168E-22
159,2,8,0,0,0,7.81295E-22
160,8,2,0,0,0,7.81295E-22
161,6,9,0,0,-1,7.8152E-22
162,9,6,0,0,1,7.8152E-22
163,10,6,0,-1,1,7.81456E-22
164,5,8,0,0,0,7.81135E-22
165,5,11,0,0,0,7.8043E-22
166,8,5,0,0,0,7.81135E-22
167,11,5,0,0,0,7.8043E-22
168,0,1,0,0,-1,3.10788E-24
169,6,7,0,0,-1,2.57922E-24
170,1,0,0,0,1,3.10788E-24
171,7,6,0,0,1,2.57922E-24
172,2,3,0,0,0,2.6433E-24
173,3,2,0,0,0,2.6433E-24
174,4,5,0,0,0,2.89962E-24
175,5,4,0,0,0,2.89962E-24
176,2,3,0,0,-1,1.49691E-22
177,4,5,0,0,-1,1.49435E-22
178,3,2,0,0,1,1.49691E-22
179,5,4,0,0,1,1.49435E-22
180,0,1,0,0,0,1.49451E-22
181,1,0,0,0,0,1.49451E-22
182,6,7,0,0,0,1.49659E-22
183,7,6,0,0,0,1.49659E-22
184,1,3,-1,-1,0,1.49034E-22
185,3,7,-1,-1,0,1.51069E-22
186,4,6,-1,-1,0,1.48954E-22
187,7,5,-1,0,0,1.48842E-22
188,3,1,1,1,0,1.49034E-22
189,6,4,1,1,0,1.48954E-22
